Id|639-1|639-2/T|639-2/B|Name|Native
142|sg|sag|sag|Sango|yângâ tî sängö
143|si|sin|sin|Sinhala Sinhaleseසිංහල|
144|sk|slk|slo|Slovak|slovenčina slovenský jazyk
145|sl|slv|slv|Slovene|slovenski jezik slovenščina
146|sm|smo|smo|Samoan|gagana faa Samoa
147|sn|sna|sna|Shona|chiShona
148|so|som|som|Somali|Soomaaliga af Soomaali
149|sq|sqi|alb|Albanian|gjuha shqipe
150|sr|srp|srp|Serbian|српски језик
151|ss|ssw|ssw|Swati|SiSwati
152|st|sot|sot|Southern Sotho|Sesotho
153|su|sun|sun|Sundanese|Basa Sunda
154|sv|swe|swe|Swedish|Svenska
155|sw|swa|swa|Swahili|Kiswahili
156|ta|tam|tam|Tamil|தமிழ்
157|te|tel|tel|Telugu|తెలుగు
158|tg|tgk|tgk|Tajik|тоҷикӣ toğikī تاجیکی‎
159|th|tha|tha|Thai|ไทย
160|ti|tir|tir|Tigrinya|ትግርኛ
161|tk|tuk|tuk|Turkmen|Türkmen Түркмен
162|tl|tgl|tgl|Tagalog|Wikang Tagalog ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔
163|tn|tsn|tsn|Tswana|Setswana
164|to|ton|ton|Tonga (Tonga Islands)|faka Tonga
165|tr|tur|tur|Turkish|Türkçe
166|ts|tso|tso|Tsonga|Xitsonga
167|tt|tat|tat|Tatar|татар теле tatar tele
168|tw|twi|twi|Twi|Twi
169|ty|tah|tah|Tahitian|Reo Tahiti
170|ug|uig|uig|Uyghur UighurUyƣurqə ئۇيغۇرچە‎|
171|uk|ukr|ukr|Ukrainian|українська мова
172|ur|urd|urd|Urdu|اردو
173|uz|uzb|uzb|Uzbek|O‘zbek Ўзбек أۇزبېك‎
174|ve|ven|ven|Venda|Tshivenḓa
175|vi|vie|vie|Vietnamese|Tiếng Việt
176|vo|vol|vol|Volapük|Volapük
177|wa|wln|wln|Walloon|walon
178|wo|wol|wol|Wolof|Wollof
179|xh|xho|xho|Xhosa|isiXhosa
180|yi|yid|yid|Yiddish|ייִדיש
181|yo|yor|yor|Yoruba|Yorùbá
182|za|zha|zha|Zhuang ChuangSaɯ cueŋƅ Saw cuengh|
183|zh|zho|chi|Chinese|中文 (Zhōngwén) 汉语 漢語
184|zu|zul|zul|Zulu|isiZulu
